Transaction ID,Quantity,Price Per Unit,Total Spent,Transaction Date,Month,Day,Weekday,Item_Coffee,Item_Cookie,Item_Juice,Item_Salad,Item_Sandwich,Item_Smoothie,Item_Tea,Payment Method_Credit Card,Payment Method_Digital Wallet,Location_Takeaway
TXN_1000555,1.0,1.5,1.5,2023-10-19,10,19,3,0,0,0,0,0,0,1,1,0,0
TXN_1002457,5.0,1.0,5.0,2023-09-29,9,29,4,0,1,0,0,0,0,0,0,1,1
TXN_1003246,2.0,3.0,6.0,2023-02-15,2,15,2,0,0,1,0,0,0,0,0,1,0
TXN_1004184,1.0,4.0,4.0,2023-05-18,5,18,3,0,0,0,0,0,1,0,1,0,0
TXN_1004563,5.0,1.5,7.5,2023-10-28,10,28,5,0,0,0,0,0,0,1,1,0,0
TXN_1005331,1.0,2.0,2.0,2023-11-04,11,4,5,1,0,0,0,0,0,0,0,1,1
TXN_1005377,5.0,3.0,15.0,2023-06-03,6,3,5,0,0,0,0,0,0,0,0,1,1
TXN_1005472,4.0,2.0,8.0,2023-04-21,4,21,4,1,0,0,0,0,0,0,1,0,1
TXN_1006942,1.0,5.0,5.0,2023-11-30,11,30,3,0,0,0,1,0,0,0,1,0,0
TXN_1007347,4.0,5.0,20.0,2023-08-28,8,28,0,0,0,0,1,0,0,0,0,1,0
TXN_1009421,4.0,1.0,4.0,2023-02-21,2,21,1,0,1,0,0,0,0,0,0,0,1
TXN_1010950,1.0,1.0,1.0,2023-01-07,1,7,5,0,1,0,0,0,0,0,0,1,1
TXN_1011236,1.0,3.0,3.0,2023-02-08,2,8,2,0,0,0,0,0,0,0,0,0,0
TXN_1012349,4.0,3.0,12.0,2023-07-08,7,8,5,0,0,0,0,0,0,0,0,0,0
TXN_1015883,4.0,1.0,4.0,2023-10-16,10,16,0,0,1,0,0,0,0,0,0,0,0
TXN_1016246,1.0,2.0,2.0,2023-01-19,1,19,3,1,0,0,0,0,0,0,0,1,1
TXN_1018470,3.0,3.0,9.0,2023-01-14,1,14,5,0,0,1,0,0,0,0,0,1,1
TXN_1018880,5.0,4.0,20.0,2023-07-15,7,15,5,0,0,0,0,0,1,0,0,1,0
TXN_1020478,1.0,2.0,2.0,2023-03-09,3,9,3,1,0,0,0,0,0,0,0,1,1
TXN_1020983,1.0,3.0,3.0,2023-03-23,3,23,3,0,0,1,0,0,0,0,0,1,0
TXN_1021087,1.0,4.0,4.0,2023-11-01,11,1,2,0,0,0,0,1,0,0,0,1,1
TXN_1022220,3.0,3.0,9.0,2023-08-03,8,3,3,0,0,1,0,0,0,0,0,1,1
TXN_1022523,4.0,5.0,20.0,2023-11-25,11,25,5,0,0,0,1,0,0,0,0,0,0
TXN_1025152,4.0,1.0,4.0,2023-08-19,8,19,5,0,1,0,0,0,0,0,0,0,0
TXN_1026050,1.0,3.0,3.0,2023-04-23,4,23,6,0,0,0,0,0,0,0,0,1,0
TXN_1026827,4.0,1.0,4.0,2023-01-02,1,2,0,0,1,0,0,0,0,0,0,1,0
TXN_1030539,3.0,3.0,9.0,2023-11-06,11,6,0,0,0,0,0,0,0,0,0,1,1
TXN_1031802,4.0,1.0,4.0,2023-06-27,6,27,1,0,1,0,0,0,0,0,0,1,0
TXN_1034067,3.0,4.0,12.0,2023-01-07,1,7,5,0,0,0,0,0,1,0,0,1,0
TXN_1034651,3.0,4.0,12.0,2023-07-06,7,6,3,0,0,0,0,1,0,0,1,0,1
TXN_1035504,2.0,4.0,8.0,2023-03-30,3,30,3,0,0,0,0,0,1,0,0,1,1
TXN_1037464,5.0,4.0,20.0,2023-02-14,2,14,1,0,0,0,0,0,1,0,0,1,0
TXN_1038397,3.0,1.0,3.0,2023-05-20,5,20,5,0,1,0,0,0,0,0,0,1,0
TXN_1039367,3.0,4.0,12.0,2023-03-12,3,12,6,0,0,0,0,1,0,0,0,0,1
TXN_1040764,3.0,2.0,6.0,2023-07-27,7,27,3,1,0,0,0,0,0,0,0,0,1
TXN_1041891,5.0,1.0,5.0,2023-08-09,8,9,2,0,1,0,0,0,0,0,0,1,0
TXN_1045022,4.0,4.0,16.0,2023-10-13,10,13,4,0,0,0,0,1,0,0,1,0,1
TXN_1046384,1.0,4.0,4.0,2023-06-09,6,9,4,0,0,0,0,0,1,0,0,0,0
TXN_1046394,1.0,4.0,4.0,2023-04-29,4,29,5,0,0,0,0,0,1,0,0,0,0
TXN_1046659,3.0,4.0,12.0,2023-12-14,12,14,3,0,0,0,0,0,1,0,0,1,1
TXN_1047204,3.0,1.0,3.0,2023-04-13,4,13,3,0,1,0,0,0,0,0,0,1,1
TXN_1047450,2.0,2.0,4.0,2023-11-19,11,19,6,1,0,0,0,0,0,0,0,0,0
TXN_1048284,2.0,5.0,10.0,2023-08-19,8,19,5,0,0,0,1,0,0,0,0,0,0
TXN_1048616,1.0,1.5,1.5,2023-10-10,10,10,1,0,0,0,0,0,0,1,0,0,1
TXN_1049697,3.0,1.5,4.5,2023-10-08,10,8,6,0,0,0,0,0,0,1,0,0,0
TXN_1050083,5.0,3.0,15.0,2023-06-28,6,28,2,0,0,0,0,0,0,0,1,0,1
TXN_1050323,1.0,3.0,3.0,2023-03-10,3,10,4,0,0,1,0,0,0,0,0,1,0
TXN_1054912,3.0,4.0,12.0,2023-08-02,8,2,2,0,0,0,0,1,0,0,0,0,0
TXN_1054915,5.0,1.0,5.0,2023-01-22,1,22,6,0,1,0,0,0,0,0,0,1,0
TXN_1056256,4.0,3.0,12.0,2023-12-04,12,4,0,0,0,0,0,0,0,0,0,1,0
TXN_1056277,5.0,1.0,5.0,2023-02-06,2,6,0,0,1,0,0,0,0,0,0,1,1
TXN_1057209,5.0,1.0,5.0,2023-09-17,9,17,6,0,1,0,0,0,0,0,1,0,0
TXN_1057760,4.0,3.0,12.0,2023-02-20,2,20,0,0,0,1,0,0,0,0,1,0,1
TXN_1058466,3.0,1.0,3.0,2023-12-07,12,7,3,0,1,0,0,0,0,0,0,1,1
TXN_1058927,4.0,4.0,16.0,2023-07-08,7,8,5,0,0,0,0,1,0,0,0,0,1
